stockcode,meanRet,tradeNums,winRatio,sdRet,maxRet,minRet,avgHoldDays
2374.TW,-1.67,2,0,1.05,-0.93,-2.41,5.5
2424.TW,-6.95,2,0,4.71,-3.62,-10.28,3
2455.TW,-0.9,2,0,0.55,-0.51,-1.29,5
2488.TW,-5.19,2,0,1.69,-4,-6.38,2.5
2498.TW,-3.73,2,0,4.24,-0.73,-6.73,6
2534.TW,-2.53,2,0,0.11,-2.46,-2.61,3.5
3014.TW,-3.71,2,0,0.84,-3.12,-4.31,3.5
3037.TW,-4.79,2,0,0.11,-4.71,-4.87,4
3062.TW,-3.12,2,0,3.24,-0.83,-5.41,4
3416.TW,-1.09,2,0,1.54,0,-2.18,7
3437.TW,-0.89,2,0,0.26,-0.71,-1.08,5
3501.TW,-2.66,2,0,1.05,-1.92,-3.4,2
3579.TW,-5.02,2,0,2.04,-3.58,-6.46,2
3588.TW,-3.57,2,0,2.44,-1.85,-5.3,2.5
3679.TW,-2.53,2,0,1.7,-1.32,-3.73,9
4952.TW,-4.66,2,0,2.07,-3.19,-6.12,2.5
4977.TW,-4.85,2,0,2.62,-3,-6.7,5
5284.TW,-0.64,2,0,0.11,-0.56,-0.72,15
5906.TW,-5.79,2,0,6.4,-1.26,-10.31,1
6165.TW,-6.59,2,0,1.04,-5.86,-7.33,1.5
6177.TW,-2.54,2,0,2.52,-0.75,-4.32,5.5
6201.TW,-2.53,2,0,0.32,-2.3,-2.76,3
6412.TW,-2.43,2,0,1.64,-1.27,-3.59,4.5
6415.TW,-3.71,2,0,4.44,-0.57,-6.85,11
6525.TW,-1.59,2,0,0.11,-1.51,-1.67,11
8046.TW,-2.21,2,0,2.04,-0.77,-3.65,8
9802.TW,-2.89,2,0,0.28,-2.69,-3.09,8
9905.TW,-1.34,2,0,0.27,-1.15,-1.53,8.5
1102.TW,1.26,1,100,NA,1.26,1.26,14
1233.TW,1.9,1,100,NA,1.9,1.9,7
1413.TW,0.61,1,100,NA,0.61,0.61,7
1416.TW,0.35,1,100,NA,0.35,0.35,16
1439.TW,1.71,1,100,NA,1.71,1.71,6
1525.TW,0.04,1,100,NA,0.04,0.04,5
1531.TW,9.87,1,100,NA,9.87,9.87,22
1540.TW,1.54,1,100,NA,1.54,1.54,13
1568.TW,0.29,1,100,NA,0.29,0.29,6
1735.TW,3.77,1,100,NA,3.77,3.77,10
1903.TW,19,1,100,NA,19,19,35
2114.TW,1.38,1,100,NA,1.38,1.38,18
2204.TW,1.19,1,100,NA,1.19,1.19,25
2340.TW,1.86,1,100,NA,1.86,1.86,7
2347.TW,3.28,1,100,NA,3.28,3.28,8
2348.TW,14.21,1,100,NA,14.21,14.21,7
2390.TW,26.54,1,100,NA,26.54,26.54,19
2399.TW,23.23,1,100,NA,23.23,23.23,14
2408.TW,2.15,1,100,NA,2.15,2.15,14
2431.TW,4.25,1,100,NA,4.25,4.25,31
2462.TW,5.54,1,100,NA,5.54,5.54,17
2468.TW,7.1,1,100,NA,7.1,7.1,10
2476.TW,1.46,1,100,NA,1.46,1.46,6
2483.TW,5.54,1,100,NA,5.54,5.54,8
2485.TW,2.98,1,100,NA,2.98,2.98,12
2608.TW,2.18,1,100,NA,2.18,2.18,8
2642.TW,1,1,100,NA,1,1,6
2901.TW,1.69,1,100,NA,1.69,1.69,9
2910.TW,0.27,1,100,NA,0.27,0.27,11
3043.TW,32.25,1,100,NA,32.25,32.25,13
3164.TW,4.23,1,100,NA,4.23,4.23,7
3296.TW,0.52,1,100,NA,0.52,0.52,7
3518.TW,6.7,1,100,NA,6.7,6.7,7
3576.TW,2.81,1,100,NA,2.81,2.81,9
3686.TW,16.12,1,100,NA,16.12,16.12,8
3705.TW,29.21,1,100,NA,29.21,29.21,22
4141.TW,3.47,1,100,NA,3.47,3.47,12
4142.TW,28.25,1,100,NA,28.25,28.25,25
4942.TW,4.3,1,100,NA,4.3,4.3,10
4960.TW,0.72,1,100,NA,0.72,0.72,8
5522.TW,2.46,1,100,NA,2.46,2.46,27
6139.TW,4.2,1,100,NA,4.2,4.2,14
6184.TW,0.24,1,100,NA,0.24,0.24,7
6192.TW,0.5,1,100,NA,0.5,0.5,4
6209.TW,1.78,1,100,NA,1.78,1.78,10
6213.TW,15.92,1,100,NA,15.92,15.92,16
6214.TW,8.01,1,100,NA,8.01,8.01,21
6278.TW,0.83,1,100,NA,0.83,0.83,11
8163.TW,72.33,1,100,NA,72.33,72.33,24
8404.TW,2.2,1,100,NA,2.2,2.2,18
9904.TW,0.33,1,100,NA,0.33,0.33,5
9934.TW,6.98,1,100,NA,6.98,6.98,13
9938.TW,6.19,1,100,NA,6.19,6.19,8
1210.TW,-4.47,1,0,NA,-4.47,-4.47,12
1229.TW,-0.83,1,0,NA,-0.83,-0.83,7
1231.TW,-0.78,1,0,NA,-0.78,-0.78,6
1232.TW,-0.8,1,0,NA,-0.8,-0.8,5
1305.TW,-5.72,1,0,NA,-5.72,-5.72,1
1313.TW,-2.4,1,0,NA,-2.4,-2.4,8
1410.TW,-0.61,1,0,NA,-0.61,-0.61,6
1414.TW,-0.1,1,0,NA,-0.1,-0.1,6
1434.TW,-1.66,1,0,NA,-1.66,-1.66,4
1452.TW,-4.48,1,0,NA,-4.48,-4.48,4
1463.TW,-4.05,1,0,NA,-4.05,-4.05,7
1465.TW,-3.23,1,0,NA,-3.23,-3.23,5
1506.TW,-1.82,1,0,NA,-1.82,-1.82,2
1526.TW,-8.99,1,0,NA,-8.99,-8.99,1
1535.TW,-0.95,1,0,NA,-0.95,-0.95,2
1541.TW,-2.92,1,0,NA,-2.92,-2.92,5
1560.TW,-0.91,1,0,NA,-0.91,-0.91,9
1590.TW,-6.19,1,0,NA,-6.19,-6.19,5
1605.TW,-6.56,1,0,NA,-6.56,-6.56,3
1609.TW,-10.14,1,0,NA,-10.14,-10.14,1
1617.TW,-1.79,1,0,NA,-1.79,-1.79,7
1702.TW,-1.77,1,0,NA,-1.77,-1.77,5
1720.TW,-2.8,1,0,NA,-2.8,-2.8,9
1722.TW,-1.14,1,0,NA,-1.14,-1.14,1
1730.TW,-1.47,1,0,NA,-1.47,-1.47,6
1732.TW,-0.4,1,0,NA,-0.4,-0.4,13
1762.TW,-2.44,1,0,NA,-2.44,-2.44,2
1773.TW,-0.95,1,0,NA,-0.95,-0.95,5
1786.TW,-4.5,1,0,NA,-4.5,-4.5,2
1808.TW,-1.13,1,0,NA,-1.13,-1.13,5
