"StockCode","meanRet","tradeNums","winRatio","sdRet","maxRet","minRet","avgHoldDays"
"2454.TW",0.28,70,44.29,7.5,17.12,-21.95,25.64
"2455.TW",0.77,70,50,11.12,38.35,-38.4,25.64
"2456.TW",3.57,70,54.29,15.93,76.16,-22.67,25.64
"2457.TW",-1.75,70,41.43,9.08,18.6,-26.21,25.64
"2458.TW",0.36,70,54.29,9.68,23.22,-21.94,25.64
"2459.TW",-0.33,70,41.43,7.05,21.51,-16.68,25.64
"2460.TW",0.3,70,51.43,8.24,33.25,-16.35,25.64
"2461.TW",-0.36,70,41.43,8.3,36.73,-22.78,25.64
"2462.TW",-0.54,70,44.29,7.1,20.23,-19.04,25.64
"2464.TW",-0.62,70,45.71,6.68,15.17,-14.59,25.64
"2465.TW",-0.88,70,38.57,12.8,39.3,-32.22,25.64
"2466.TW",-0.16,70,48.57,3.78,11,-11.91,25.64
"2467.TW",2.34,70,60,8.75,32.67,-13.59,25.64
"2468.TW",-0.28,70,45.71,7.52,35.43,-18.4,25.64
"2471.TW",1.88,70,50,13.49,67.09,-29.14,25.64
"2472.TW",1.76,70,51.43,12.2,34.77,-22.09,25.64
"2474.TW",2.3,70,55.71,9.42,28.84,-20.97,25.64
"2475.TW",-1.66,70,41.43,16.97,81.97,-43.23,25.64
"2476.TW",-0.89,70,45.71,6.18,26.17,-18.28,25.64
"2477.TW",0.12,70,47.14,9.38,29.24,-20.1,25.64
"2478.TW",4.46,70,45.71,33.67,253.45,-22.29,25.64
"2480.TW",1.3,70,51.43,7.96,27.58,-14.29,25.64
"2481.TW",2.23,70,52.86,14.55,51.77,-43.91,25.64
"2482.TW",1.78,65,38.46,13.86,69.08,-20.94,25.86
"2483.TW",-0.95,70,42.86,8.97,33.33,-24.19,25.64
"2484.TW",-0.59,70,41.43,10.31,29.46,-25.37,25.64
"2485.TW",-1.29,70,45.71,9.43,23.95,-23.95,25.64
"2486.TW",-1.38,70,37.14,10.45,41.08,-22.15,25.64
"2488.TW",1.11,70,42.86,11.78,49.82,-22.3,25.64
"2489.TW",-0.66,70,44.29,8.57,22.51,-27.13,25.64
"2491.TW",-0.1,70,37.14,16.53,60.52,-40.44,25.64
"2492.TW",5.58,70,50,34.47,242.34,-24.56,25.64
"2493.TW",0.06,70,48.57,6.27,24.86,-18.87,25.64
"2495.TW",-1.05,70,44.29,9.25,29.85,-24.88,25.64
"2496.TW",-1.94,68,41.18,12.87,35.04,-43.44,26.09
"2497.TW",0.11,70,51.43,10.54,34.41,-32.53,25.64
"2498.TW",-2.76,70,41.43,14.53,40.63,-40.42,25.64
"2499.TW",-1.86,68,42.65,10.15,32.87,-31.42,24.74
"2501.TW",0.25,70,47.14,8.16,30.33,-23.73,25.64
"2504.TW",-0.47,70,44.29,6.96,22.09,-14.9,25.64
"2505.TW",-0.44,70,34.29,8.44,25.03,-25.28,25.64
"2506.TW",1.23,68,45.59,7,22.94,-11.67,24.74
"2509.TW",0.54,70,47.14,8.04,34.29,-19.71,25.64
"2511.TW",0.76,70,40,8.92,36.05,-26.61,25.64
"2514.TW",0.28,70,45.71,7.3,19.54,-24.5,25.64
"2515.TW",-1.51,70,41.43,5.97,14.05,-17.76,25.64
"2516.TW",-1.12,70,31.43,8.14,32.87,-28.61,25.64
"2520.TW",0.12,70,42.86,11.69,26.28,-39.29,25.64
"2524.TW",-0.38,70,37.14,6.58,15.85,-25.25,25.64
"2527.TW",-0.47,70,41.43,9.61,27.93,-31.27,25.64
"2528.TW",0.4,68,47.06,11.82,46.13,-21.46,26.09
"2530.TW",-0.59,70,44.29,7.26,26.26,-26.85,25.64
"2534.TW",1.95,70,55.71,9.08,34.3,-26.9,25.64
"2535.TW",0.48,70,45.71,6.43,33.34,-21.86,25.64
"2536.TW",-0.69,70,45.71,8.43,31.19,-32.3,25.64
"2537.TW",0.4,69,40.58,8.01,32.55,-20.73,25.87
"2538.TW",-0.1,70,40,8.26,19.84,-33,25.64
"2539.TW",0.43,69,31.88,6.32,20.55,-9.89,25.41
"2540.TW",1.94,64,29.69,25.4,176.2,-26.23,28.05
"2542.TW",2.21,70,45.71,12.25,64.99,-19.92,25.64
"2543.TW",0.3,70,38.57,8.37,42.51,-17.74,25.64
"2545.TW",0.03,70,41.43,11.55,43.16,-29.88,25.64
"2546.TW",-0.13,70,41.43,7.73,24.69,-37.25,25.64
"2547.TW",-1.52,70,40,8.49,30.19,-29.94,25.64
"2548.TW",-0.24,70,42.86,8.01,19.59,-24.34,25.64
"2597.TW",-0.68,68,38.24,7.45,23.32,-21.27,24.79
"2601.TW",-0.81,68,38.24,9.57,25.09,-27.49,24.74
"2603.TW",-0.03,70,48.57,8.87,33.08,-20.12,25.64
"2605.TW",-1.54,70,34.29,5.41,15.52,-13.76,25.64
"2606.TW",-0.71,63,36.51,6.16,23.2,-10.95,27.32
"2607.TW",-1.46,70,34.29,5.86,12.88,-24.08,25.64
"2608.TW",1,70,55.71,5.93,17.57,-13.92,25.64
"2609.TW",-0.83,70,40,9.88,42.49,-27.75,25.64
"2610.TW",-0.15,70,34.29,8.73,35.88,-24.99,25.64
"2611.TW",0.8,70,35.71,10.87,46.75,-26.65,25.64
"2612.TW",-1.36,70,28.57,6.75,23.63,-15.54,25.64
"2613.TW",-0.71,70,40,7.2,26.94,-21.41,25.64
"2614.TW",-0.05,70,41.43,13.42,49.64,-31.06,25.64
"2615.TW",-0.17,70,42.86,7.94,20.97,-23.37,25.64
"2616.TW",0.05,68,42.65,3.8,9.47,-15.42,24.74
"2617.TW",-0.95,70,41.43,6.75,17.71,-17.44,25.64
"2618.TW",-0.04,70,50,8.23,24.89,-30.18,25.64
"2630.TW",-0.08,11,27.27,11.05,30.28,-13.51,27.18
"2633.TW",0.7,54,33.33,6.33,32.83,-7.81,24.56
"2634.TW",0.84,32,40.62,6.72,19.34,-8.41,26.66
"2636.TW",0.28,69,44.93,9.3,36.12,-16.98,25
"2637.TW",-0.68,61,42.62,3.66,7.03,-8.88,25.43
"2642.TW",0.49,44,38.64,9.25,33.78,-17.91,25.68
"2701.TW",0.02,70,42.86,3.89,13.82,-12.37,25.64
"2702.TW",-0.39,70,42.86,5.31,30.34,-14.71,25.64
"2704.TW",-0.87,70,41.43,5.74,20.85,-17.08,25.64
"2705.TW",-0.95,70,38.57,7.15,23.13,-22.14,25.64
"2706.TW",-0.51,70,37.14,4.38,15.01,-13.8,25.64
"2707.TW",-1.17,70,34.29,6.51,23.94,-21.03,25.64
